cpg_id,pmcid,pmid,doi,title,organization,document_type,source_category,guideline_family,version_note,issue_date,date_precision,date_source,supersession_note,authority_tier_label,claim_classes,license_code,license_source,acquisition,acquisition_timestamp,content_hash_md5,in_currency_pack,eligibility_status
PMC11350039,PMC11350039,38934362,10.1002/alz.13859,Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's Association Workgroup,NIA-AA / Alzheimer's Association Workgroup,diagnostic & staging criteria,cpg,NIA-AA-criteria,as-published,2024-08,month,pubmed,revised criteria; supersedes 2011/2018 NIA-AA criteria (not in corpus),diagnostic-criteria,criteria;biomarkers;amyloid;tau;plasma;staging,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T19:49:55+00:00,8e039fba8b27546f2975e7d23cb6f6c0,yes,eligible
PMC10313141,PMC10313141,37357276,10.14283/jpad.2023.30,Lecanemab: Appropriate Use Recommendations,Alzheimer's Association appropriate-use workgroup,appropriate-use recommendations,cpg,lecanemab-AUR,as-published,2023,year,pubmed,drug-specific; may be updated,appropriate-use-criteria,eligibility;aria;apoe;pharmacotherapy,CC BY,PMC manifest (from inventory),pmc-oa,2026-09-01T17:43:05+00:00,9a01fb134ec3455b7208d56388494801,yes,eligible
PMC12180672,PMC12180672,40155270,10.1016/j.tjpad.2025.100150,Donanemab: Appropriate use recommendations,Alzheimer's Association appropriate-use workgroup,appropriate-use recommendations,cpg,donanemab-AUR,as-published,2025-05,month,pubmed,drug-specific; may be updated,appropriate-use-criteria,eligibility;aria;apoe;pharmacotherapy,CC BY,PMC manifest (from inventory),pmc-oa,2026-09-01T21:49:36+00:00,0b31bc34a6db8af08ef26c4d812a4390,yes,eligible
PMC11772739,PMC11772739,39776249,10.1002/alz.14338,Updated appropriate use criteria for amyloid and tau PET: A report from the Alzheimer's Association and Society for Nuclear Medicine and Molecular Imaging Workg,Alzheimer's Association / SNMMI,appropriate-use criteria (report; PubMed type=Systematic Review),cpg,amyloid-tau-PET-AUC,as-published,2025-01,month,pubmed,updated AUC; supersedes prior amyloid-PET AUC (not in corpus),appropriate-use-criteria,amyloid-imaging;tau;biomarkers,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T20:59:03+00:00,7c07363721b587f08f9a2036665e763a,yes,eligible
PMC12306682,PMC12306682,40729527,10.1002/alz.70535,Alzheimer's Association Clinical Practice Guideline on the use of blood‐based biomarkers in the diagnostic workup of suspected Alzheimer's disease within specia,Alzheimer's Association,clinical practice guideline,cpg,AA-blood-biomarker-CPG,as-published,2025-07,month,pubmed,new (2025); no prior version,clinical-practice-guideline,plasma;biomarkers;diagnosis,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T22:43:21+00:00,675aa4a7a340f55f6104737662c777f6,yes,eligible
PMC12173843,PMC12173843,39713942,10.1002/alz.14333,"Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and Rela",Alzheimer's Association,clinical practice guideline,cpg,AA-DETeCD-ADRD,as-published,2025-06,month,pubmed,DETeCD-ADRD family; part/version relationship within family not verified,clinical-practice-guideline,diagnosis;differential-diagnosis;criteria,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T20:53:11+00:00,0fcdbd77d769d710ac7dd7d3c47b9a7c,no,eligible
PMC11772712,PMC11772712,39713939,10.1002/alz.14335,"The Alzheimer's Association clinical practice guideline for the diagnostic evaluation, testing, counseling, and disclosure of suspected Alzheimer's disease and ",Alzheimer's Association,clinical practice guideline,cpg,AA-DETeCD-ADRD,as-published,2025-01,month,pubmed,DETeCD-ADRD family; part/version relationship within family not verified,clinical-practice-guideline,diagnosis;differential-diagnosis,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T20:53:10+00:00,793a42da04b8654efae1501fb888a075,no,eligible
PMC11772716,PMC11772716,39713957,10.1002/alz.14337,"The Alzheimer's Association clinical practice guideline for the Diagnostic Evaluation, Testing, Counseling, and Disclosure of Suspected Alzheimer's Disease and ",Alzheimer's Association,clinical practice guideline,cpg,AA-DETeCD-ADRD,as-published,2025-01,month,pubmed,DETeCD-ADRD family; part/version relationship within family not verified,clinical-practice-guideline,diagnosis;differential-diagnosis,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T20:53:13+00:00,46c20b88ed24e05200e4be9ddfa5fec4,no,eligible
PMC11251480,PMC11251480,38939962,10.1002/acn3.52042,"Amyloid‐related imaging abnormalities (ARIA): diagnosis, management, and care in the setting of amyloid‐modifying therapy",multi-society (ARIA working group),ARIA diagnosis/management guidance (PubMed type=Review),cpg,ARIA-guidance,as-published,2024-07,month,pubmed,none verified,consensus-recommendation,aria;pharmacotherapy;amyloid-imaging,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T19:50:21+00:00,e4ca4f0dc66075de04c23c99e87666d1,yes,eligible
PMC12772267,PMC12772267,40189284,10.2463/mrms.gl.2025-1000,Practical Brain MRI Guidelines for Anti-Aβ Antibody Treatment in Early Symptomatic Alzheimer’s Disease,Japanese neuroradiology (MRMS),clinical practice guideline (MRI for anti-Aβ),cpg,anti-Ab-MRI-guidelines,as-published,2025-11-20,day,pubmed,"related to PMC12287243 (same guidance, different journal); relationship recorded",clinical-practice-guideline,aria;amyloid-imaging;pharmacotherapy,CC BY-NC-ND,PMC manifest (from inventory),pmc-oa,2026-09-01T21:52:17+00:00,09607dfaae7770a14d84b02dafd85a0d,no,eligible
