question_id,question,reference_answer,reference_source,reference_locator,reference_date,topic,subtopic,temporal_candidate,ambiguity_candidate,automatic_failures,reviewer_decision,reviewer_note
ADQ-cb62adb2c14d,Does dance movement therapy improve symptoms of dementia compared to no treatment or standard care?,"Due to the low certainty of the evidence, the true effects of DMT as an intervention for dementia may be substantially different from those found.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2023 Aug 7;8(8):CD011022. doi: 10.1002/14651858.CD011022.pub3.,PMID:37549216 | CD011022.pub3 | doi:10.1002/14651858.CD011022.pub3,2023-08,management,neuropsychiatric_symptoms,True,True,,,
ADQ-8198b2f829b0,Are antipsychotics effective for treating agitation and psychosis in dementia patients?,There is some evidence that typical antipsychotics might decrease agitation and psychosis slightly in patients with dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Dec 17;12(12):CD013304. doi: 10.1002/14651858.CD013304.pub2.,PMID:34918337 | CD013304.pub2 | doi:10.1002/14651858.CD013304.pub2,2021-12,management,neuropsychiatric_symptoms,True,False,,,
ADQ-538943ed5228,Is the Mini-Cog an accurate tool for detecting dementia in primary care settings?,There is a limited number of studies evaluating the accuracy of the Mini-Cog for the diagnosis of dementia in primary care settings.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Jul 14;7(7):CD011415. doi: 10.1002/14651858.CD011415.pub3.,PMID:34261197 | CD011415.pub3 | doi:10.1002/14651858.CD011415.pub3,2021-07,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-1e23066e9721,Is the Mini-Cog test accurate for detecting dementia in secondary care settings?,Those identified were at high risk of bias related to patient selection and high concerns related to index test conduct and applicability.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Jul 14;7(7):CD011414. doi: 10.1002/14651858.CD011414.pub3.,PMID:34260060 | CD011414.pub3 | doi:10.1002/14651858.CD011414.pub3,2021-07,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-8aac0455c4a7,Is the Mini-Cog an effective test for detecting dementia in community settings?,There are currently few studies assessing the diagnostic test accuracy of the Mini-Cog in community settings.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Jul 14;7(7):CD010860. doi: 10.1002/14651858.CD010860.pub3.,PMID:34259337 | CD010860.pub3 | doi:10.1002/14651858.CD010860.pub3,2021-07,diagnosis,diagnostic_accuracy,True,True,,,
ADQ-b5a40d6439a2,Are pharmacological or non-pharmacological treatments effective for epilepsy in people with Alzheimer's disease?,"Regarding efficacy and tolerability, no significant differences were found between levetiracetam, phenobarbital and lamotrigine.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 May 11;5(5):CD011922. doi: 10.1002/14651858.CD011922.pub4.,PMID:33973646 | CD011922.pub4 | doi:10.1002/14651858.CD011922.pub4,2021-05,treatment,pharmacological,True,False,,,
ADQ-54ab8afdcbc4,Are cholinesterase inhibitors effective for improving cognition in people with vascular cognitive impairment?,"We found moderate- to high-certainty evidence that donepezil 5 mg, donepezil 10 mg, and galantamine have a slight beneficial effect on cognition in people with VCI, although the size of the change is unlikely to be clinically important.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Feb 22;2(2):CD013306. doi: 10.1002/14651858.CD013306.pub2.,PMID:33704781 | CD013306.pub2 | doi:10.1002/14651858.CD013306.pub2,2021-02,treatment,pharmacological,True,False,,,
ADQ-d1876117fa63,Can measuring ABeta42 levels help distinguish Alzheimer's disease from other types of dementia?,"Our review indicates that measuring ABeta42 levels in CSF may help differentiate ADD from other dementia subtypes, but the test is imperfect and tends to misdiagnose those with non-ADD as having ADD.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Feb 10;2(2):CD010945. doi: 10.1002/14651858.CD010945.pub2.,PMID:33566374 | CD010945.pub2 | doi:10.1002/14651858.CD010945.pub2,2021-02,diagnosis,biomarkers,True,False,,,
ADQ-20f340a68619,Does continuing cholinesterase inhibitors improve outcomes for people with dementia compared to stopping them?,"As all participants had dementia due to Alzheimer's disease, our findings are not transferable to other dementia types.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2021 Feb 3;2(2):CD009081. doi: 10.1002/14651858.CD009081.pub2.,PMID:35608903 | CD009081.pub2 | doi:10.1002/14651858.CD009081.pub2,2021-02,management,caregiving,True,False,,,
ADQ-1fc7663325a5,Does Souvenaid improve cognitive function in people with Alzheimer's disease?,Two years of treatment with Souvenaid probably does not reduce the risk of progression to dementia in people with prodromal AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2020 Dec 15;12(12):CD011679. doi: 10.1002/14651858.CD011679.pub2.,PMID:33320335 | CD011679.pub2 | doi:10.1002/14651858.CD011679.pub2,2020-12,epidemiology,risk_and_frequency,True,False,,,
