query_id,query_label,query_term,search_timestamp_utc,result_count,retrieved_pmid_count,fetched_record_count,new_unique_pmids,errors_warnings
Q0.1,High-recall (clinical reasoning OR diagnosis of AD / related dementia),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR ""AD dementia""[tiab] OR ""dementia of the Alzheimer type""[tiab] OR ""senile dementia""[tiab]) AND (""Clinical Decision-Making""[Mesh] OR ""Decision Making""[Mesh] OR ""Decision Support Systems, Clinical""[Mesh] OR ""Diagnosis, Differential""[Mesh] OR ""Diagnostic Errors""[Mesh] OR ""Delayed Diagnosis""[Mesh] OR ""Early Diagnosis""[Mesh] OR ""diagnosis""[Subheading] OR ""clinical reasoning""[tiab] OR ""diagnostic reasoning""[tiab] OR ""clinical decision-making""[tiab] OR ""clinical decision making""[tiab] OR ""clinical judgement""[tiab] OR ""clinical judgment""[tiab] OR ""diagnostic process""[tiab] OR ""diagnostic accuracy""[tiab] OR misdiagnos*[tiab] OR ""differential diagnosis""[tiab] OR ""clinical diagnosis""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:08:29+00:00,15347,15347,15347,15347,
Q0.2,High-precision (reasoning/decision-making constructs AND AD),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""clinical reasoning""[tiab] OR ""diagnostic reasoning""[tiab] OR ""clinical decision-making""[tiab] OR ""clinical decision making""[tiab] OR ""hypothetico-deductive""[tiab] OR ""dual process""[tiab] OR ""illness script""[tiab] OR ""case-based reasoning""[tiab] OR ""problem representation""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:14:56+00:00,204,204,204,2,
Q0.3,High-precision (clinical diagnosis / diagnostic criteria of AD),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""clinical diagnosis""[tiab] OR ""diagnostic criteria""[tiab] OR ""NIA-AA""[tiab] OR ""NINCDS-ADRDA""[tiab] OR McKhann[tiab] OR ""IWG""[tiab] OR ""International Working Group""[tiab] OR ""ATN""[tiab] OR ""AT(N)""[tiab] OR DETeCD[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:14:59+00:00,1669,1669,1669,392,
Q1.6,Typical vs atypical AD phenotypes,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (atypical[tiab] OR ""posterior cortical atrophy""[tiab] OR PCA[tiab] OR ""logopenic""[tiab] OR lvPPA[tiab] OR ""primary progressive aphasia""[tiab] OR ""frontal variant""[tiab] OR ""behavioral variant""[tiab] OR ""corticobasal""[tiab] OR ""amnestic syndrome""[tiab] OR ""hippocampal type""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:14+00:00,1565,1565,1565,833,
Q4.1,AD AND clinical reasoning (tiab),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""clinical reasoning""[tiab] OR ""diagnostic reasoning""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:42+00:00,12,12,12,0,
Q4.2,AD AND clinical decision-making,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Clinical Decision-Making""[Mesh] OR ""clinical decision-making""[tiab] OR ""clinical decision making""[tiab] OR ""diagnostic decision making""[tiab] OR ""diagnostic decision-making""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:44+00:00,246,246,246,1,
Q4.3,AD AND clinical judgment,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Judgment""[Mesh] OR ""clinical judgement""[tiab] OR ""clinical judgment""[tiab] OR ""clinician judgment""[tiab] OR ""physician judgment""[tiab] OR ""expert judgment""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:46+00:00,33,33,33,9,
Q4.4,AD AND dual-process / hypothetico-deductive / illness scripts,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab] OR dementia[tiab]) AND (""hypothetico-deductive""[tiab] OR ""dual process""[tiab] OR ""dual-process""[tiab] OR ""illness script""[tiab] OR ""pattern recognition""[tiab] OR ""case-based reasoning""[tiab] OR ""problem representation""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:51+00:00,120,120,120,95,
Q4.5,Dementia (broader) AND clinical reasoning (catches papers not tagged AD),"((""Dementia""[Mesh] OR dementia[tiab] OR ""Cognitive Dysfunction""[Mesh] OR ""mild cognitive impairment""[tiab]) AND (""clinical reasoning""[tiab] OR ""diagnostic reasoning""[tiab] OR ""Clinical Decision-Making""[Mesh] OR ""clinical decision-making""[tiab] OR ""clinical decision making""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:15:57+00:00,410,410,410,230,
Q4.6,AD AND diagnostic process / workup / pathway,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""diagnostic process""[tiab] OR ""diagnostic pathway""[tiab] OR ""diagnostic workup""[tiab] OR ""diagnostic work-up""[tiab] OR ""diagnostic evaluation""[tiab] OR ""diagnostic approach""[tiab] OR ""how to diagnose""[tiab] OR ""approach to diagnosis""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:16:05+00:00,311,311,311,50,"quotedphrasesnotfound: ""how to diagnose""[tiab] [2021/08/30:2026/08/30] | quotedphrasesnotfound: ""how to diagnose""[tiab] [2021/08/30:2026/08/30]"
Q5.1,AD/diagnosis MeSH explosion (very large),"(""Alzheimer Disease/diagnosis""[Mesh]) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:16:10+00:00,9530,9530,9530,0,
Q5.2,AD AND clinical diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""clinical diagnosis""[tiab] OR ""clinically diagnosed""[tiab] OR ""probable Alzheimer""[tiab] OR ""possible Alzheimer""[tiab] OR ""established Alzheimer""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:16:13+00:00,1261,1261,1261,227,
Q5.3,AD AND differential diagnosis,"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Diagnosis, Differential""[Mesh] OR ""differential diagnosis""[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:16:20+00:00,618,618,618,0,
Q5.4,AD vs other dementias (etiologic differentiation),"((""Alzheimer Disease""[Mesh] OR Alzheimer*[tiab]) AND (""Lewy Body Disease""[Mesh] OR ""Dementia, Vascular""[Mesh] OR ""Frontotemporal Lobar Degeneration""[Mesh] OR ""Frontotemporal Dementia""[Mesh] OR ""Pick Disease of the Brain""[Mesh] OR ""Hydrocephalus, Normal Pressure""[Mesh] OR ""Depression""[Mesh] OR ""Lewy body""[tiab] OR DLB[tiab] OR ""vascular dementia""[tiab] OR VaD[tiab] OR ""vascular cognitive impairment""[tiab] OR FTD[tiab] OR FTLD[tiab] OR ""frontotemporal""[tiab] OR ""normal pressure hydrocephalus""[tiab] OR NPH[tiab] OR ""pseudodementia""[tiab] OR ""late-life depression""[tiab] OR LATE[tiab] OR ""limbic-predominant""[tiab] OR TDP-43[tiab] OR ""mixed dementia""[tiab] OR ""mixed pathology""[tiab] OR copatholog*[tiab]) AND (diagnos*[tiab] OR differentiat*[tiab] OR distinguish*[tiab] OR discriminant*[tiab] OR ""versus""[tiab] OR vs[tiab])) AND (""2021/08/30""[Date - Publication] : ""2026/08/30""[Date - Publication])",2026-08-31T05:16:21+00:00,3937,3937,3937,1712,
