claim_class,chunks
treatment_efficacy,2120158
anti_amyloid_therapy,2094804
differential_diagnosis,1952287
staging,1702310
prognosis,1671085
diagnosis,1571592
eligibility,1360415
pathology,1293183
treatment_safety,1288888
genetics,1270783
systematic_evidence,1258734
apoe,1201727
guidelines_and_consensus,1158826
association,1122978
biomarker,1062677
imaging,1054475
aria,1000901
disease_definition,993516
mechanism,980900
epidemiology,977644
risk_factor,960598
monitoring,903416
treatment,652282
amyloid,641883
tau,514052
causation,447476
<untagged>,415928
