chunk_id,document_id,source_tier,automatic_labels,automatic_confidence,automatic_evidence_levels,ad_relevant,ad_relevance_score,human_labels,annotator_notes
PMC12172995.1#Declaration of Generative AI and AI-assisted technologies in the writing process.0,PMC12172995.1,peer_reviewed_primary,,0.0,,False,0.0,,
PMC3753469.1#Discussion.9,PMC3753469.1,peer_reviewed_primary,amyloid;apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.092,reference_work,True,0.8,,
PMC12075133.1#Results.9,PMC12075133.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,True,1.0,,
PMC7235043.1#Results.36,PMC7235043.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,case_control_study,True,1.0,,
PMC12995305.1#Methods.0,PMC12995305.1,peer_reviewed_primary,aria;guidelines_and_consensus;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis;regulatory_document,False,0.0,,
PMC8653776.1#title.0,PMC8653776.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12914430.1#Experimental Procedures.16,PMC12914430.1,peer_reviewed_primary,biomarker;systematic_evidence,0.057,,True,0.8,,
PMC4874591.1#Results.8,PMC4874591.1,peer_reviewed_primary,causation,0.057,,False,0.0,,
PMC3863771.1#Subjects and methods.7,PMC3863771.1,peer_reviewed_primary,diagnosis;staging;eligibility,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC6441057.1#Results.5,PMC6441057.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy,0.04,cross_sectional_study,True,1.0,,
PMC13011456.1#Discussion.1,PMC13011456.1,peer_reviewed_primary,disease_definition;epidemiology;risk_factor;diagnosis;staging;prognosis;biomarker;genetics;apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;eligibility;monitoring;guidelines_and_consensus;mechanism;association,0.171,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;clinical_guideline,False,0.0,,
PMC9369880.1#2. Materials and Methods.5,PMC9369880.1,peer_reviewed_primary,eligibility,0.04,,False,0.0,,
PMC5022057.1#Results.1,PMC5022057.1,peer_reviewed_primary,epidemiology;prognosis;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,case_control_study,True,0.8,,
PMC12488993.1#Methods.3,PMC12488993.1,peer_reviewed_primary,genetics;differential_diagnosis;anti_amyloid_therapy,0.04,regulatory_document,False,0.0,,
PMC10781908.1#Results.9,PMC10781908.1,peer_reviewed_primary,guidelines_and_consensus,0.036,reference_work,False,0.0,,
PMC7591898.1#Discussion.2,PMC7591898.1,peer_reviewed_primary,imaging;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,0.8,,
PMC3405135.1#title.0,PMC3405135.1,peer_reviewed_primary,mechanism,0.057,,True,0.8,,
PMC11079321.1#Results.5,PMC11079321.1,peer_reviewed_primary,monitoring,0.067,cohort_study;case_control_study,True,0.8,,
PMC7696542.1#2. Materials and Methods.14,PMC7696542.1,peer_reviewed_primary,pathology;anti_amyloid_therapy,0.062,,True,0.8,,
PMC7218576.1#Introduction.1,PMC7218576.1,peer_reviewed_primary,prognosis;pathology;biomarker;amyloid;imaging;treatment_efficacy;anti_amyloid_therapy,0.067,,True,0.8,,
PMC9900155.1#Discussion.3,PMC9900155.1,peer_reviewed_primary,risk_factor;staging;prognosis;pathology;treatment_efficacy;mechanism,0.1,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC13404107.1#Results.0,PMC13404107.1,peer_reviewed_primary,staging;prognosis;biomarker;treatment_efficacy;systematic_evidence,0.057,cohort_study;meta_analysis,True,0.8,,
PMC5619403.1#RESULTS.1,PMC5619403.1,peer_reviewed_primary,systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,1.0,,
PMC9856209.1#2. Materials and Methods.5,PMC9856209.1,peer_reviewed_primary,tau;systematic_evidence,0.067,case_control_study;evidence_synthesis,True,1.0,,
PMC9420526.1#Results.12,PMC9420526.1,peer_reviewed_primary,treatment;systematic_evidence;mechanism,0.057,meta_analysis,False,0.0,,
PMC12558363.1#STAR★METHODS.6,PMC12558363.1,peer_reviewed_primary,treatment_efficacy,0.031,,False,0.0,,
PMC5780161.1#Materials and methods.4,PMC5780161.1,peer_reviewed_primary,treatment_safety,0.036,randomized_controlled_trial,True,1.0,,
PMC5809908.1#Discussion.7,PMC5809908.1,peer_reviewed_primary,,0.0,randomized_controlled_trial;cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC5347034.1#Discussion.2,PMC5347034.1,peer_reviewed_primary,amyloid;tau;genetics;differential_diagnosis;anti_amyloid_therapy,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;reference_work,True,0.8,,
PMC10924212.1#RESULTS.2,PMC10924212.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,True,0.8,,
PMC7111454.1#abstract.1,PMC7111454.1,peer_reviewed_primary,apoe;aria,0.057,,True,1.0,,
PMC13295734.1#2. Related Work.1,PMC13295734.1,peer_reviewed_primary,aria,0.05,cross_sectional_study;reference_work,True,1.0,,
PMC12878154.1#Method.0,PMC12878154.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC11510340.1#3. Materials and Methods.3,PMC11510340.1,peer_reviewed_primary,biomarker;imaging;treatment_safety;aria;monitoring;guidelines_and_consensus,0.073,randomized_controlled_trial;cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC10620700.1#Materials and methods.7,PMC10620700.1,peer_reviewed_primary,causation,0.057,,True,0.8,,
PMC10376230.1#2. Materials and Methods.2,PMC10376230.1,peer_reviewed_primary,diagnosis;staging;prognosis;genetics;treatment_safety;aria,0.05,,True,1.0,,
PMC12149523.1#Method.7,PMC12149523.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy;guidelines_and_consensus;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;systematic_review;narrative_review;consensus_statement,False,0.0,,
PMC11726886.1#5. Conclusions.0,PMC11726886.1,peer_reviewed_primary,disease_definition;apoe;treatment_efficacy;anti_amyloid_therapy;mechanism;causation,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
