original_id,status,final_id,problem,evaluation_purpose,action_taken,reason
ADQ-00c9d3d98a10,MERGE,ADQ-a25fc5f4d73e,"duplicate of ADQ-a25fc5f4d73e (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-a25fc5f4d73e,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-066cbb988106,MERGE,ADQ-a25fc5f4d73e,"duplicate of ADQ-a25fc5f4d73e (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-a25fc5f4d73e,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-06bef4f0b87f,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-0973ceb82fdc,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-0b4ae985106f,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-0b9699a5ae80,KEEP,ADQ-0b9699a5ae80,was part of a 3-version duplicate cluster (CD001190),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-0d06ba3b3c4c,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-0d3b934ecb62,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-12073e0abbd2,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-1b40adeef897,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-1e23066e9721,KEEP,ADQ-1e23066e9721,was part of a 2-version duplicate cluster (CD011414),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-1fc7663325a5,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-20f340a68619,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-2471c8c0f154,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-267ce9358a69,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-26ca63f167ee,MERGE,ADQ-a25fc5f4d73e,"duplicate of ADQ-a25fc5f4d73e (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-a25fc5f4d73e,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-2914e16813f7,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-2bd673ac07c4,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-312855c07555,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-31c3005691db,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-35042a0e0518,MERGE,ADQ-dd542aa0a7d8,"duplicate of ADQ-dd542aa0a7d8 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-dd542aa0a7d8,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-35ee11c27606,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-37b7f87b907d,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-3bb540a2dd92,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-3c429a38313a,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-3d7734df06bb,KEEP,ADQ-3d7734df06bb,was part of a 2-version duplicate cluster (CD004746),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-3d7b98d38025,MERGE,ADQ-1e23066e9721,"duplicate of ADQ-1e23066e9721 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-1e23066e9721,duplicate review versions asking the same underlying question
ADQ-3db3412fc3f8,REMOVE,-,answer contains no checkable claim (states only that variation exists),none,removed,"answer states symptoms vary, names no actual symptom"
ADQ-3e1770b0f392,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-3f049cd4bc2d,KEEP,ADQ-3f049cd4bc2d,was part of a 2-version duplicate cluster (CD007514),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-402df5af816d,REMOVE,-,reference answer does not address the question (extraction mismatch),none,removed,"question asks how to 'diagnose caregiving' (incoherent); answer is post-diagnosis guidance, not diagnosis; repairing would require re-extracting from the source page, not available here"
ADQ-44d10f70273f,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-48a772fb22fc,KEEP,ADQ-48a772fb22fc,was part of a 3-version duplicate cluster (CD002854),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-4ad8a5197cc5,KEEP,ADQ-4ad8a5197cc5,was part of a 2-version duplicate cluster (CD004744),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-4c5ced141d11,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"stronger of two near-duplicate AD-definition items (both define 'what is Alzheimer's disease', different NIH source pages)"
ADQ-4c684b482b73,MERGE,ADQ-0b9699a5ae80,"duplicate of ADQ-0b9699a5ae80 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-0b9699a5ae80,duplicate review versions asking the same underlying question
ADQ-4ecba3717252,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-538943ed5228,KEEP,ADQ-538943ed5228,was part of a 2-version duplicate cluster (CD011415),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-54ab8afdcbc4,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-57b72f57a492,REMOVE,-,"boilerplate methodological text, no efficacy verdict in any version",none,removed,"cluster CD001747: no member states a checkable claim; cannot repair without re-extracting the source review's actual conclusion sentence, which is not available here"
ADQ-5a47aa491771,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-5b40bff463c9,MERGE,ADQ-a25fc5f4d73e,"duplicate of ADQ-a25fc5f4d73e (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-a25fc5f4d73e,"duplicate review versions; verdict genuinely evolved over time - most recent kept as the current, non-outdated answer"
ADQ-68e24e06906f,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-6b236b38ecb9,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-6cf39cb82e69,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-6d4d6b4a05f1,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-6d6365171bd4,MERGE,ADQ-48a772fb22fc,"duplicate of ADQ-48a772fb22fc (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-48a772fb22fc,duplicate review versions asking the same underlying question
ADQ-6de417cf1fc3,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-6fa252b11b5c,KEEP,ADQ-6fa252b11b5c,was part of a 2-version duplicate cluster (CD000304),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-703385fe70e7,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-72e64932d061,MERGE,ADQ-8aac0455c4a7,"duplicate of ADQ-8aac0455c4a7 (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-8aac0455c4a7,duplicate review versions asking the same underlying question
ADQ-7474b2be5720,MERGE,ADQ-6fa252b11b5c,"duplicate of ADQ-6fa252b11b5c (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-6fa252b11b5c,duplicate review versions asking the same underlying question
ADQ-75a8b9996b8e,REMOVE,-,"boilerplate methodological text, no efficacy verdict in any version",none,removed,"cluster CD001747: no member states a checkable claim; cannot repair without re-extracting the source review's actual conclusion sentence, which is not available here"
ADQ-75f93f8a9cb7,MERGE,ADQ-4c5ced141d11,near-duplicate of ADQ-4c5ced141d11,none,merged into ADQ-4c5ced141d11,"both define 'what is Alzheimer's disease', different NIH source pages"
ADQ-79083820f4f2,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-79e66403c45c,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as-is,"clear, evidence-grounded, on-topic; no defect found"
ADQ-7c94dbae578f,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-7f02400764e8,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-80dba91f533e,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-8198b2f829b0,KEEP,-,-,"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-87188406561a,MERGE,ADQ-3d7734df06bb,"duplicate of ADQ-3d7734df06bb (same review, earlier version, same underlying question)",none (superseded by kept version),merged into ADQ-3d7734df06bb,duplicate review versions asking the same underlying question
ADQ-892088c1c429,KEEP,ADQ-892088c1c429,was part of a 2-version duplicate cluster (CD003260),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-8aac0455c4a7,KEEP,ADQ-8aac0455c4a7,was part of a 2-version duplicate cluster (CD010860),"hallucination,outdated-knowledge(flagged),out-of-context,factual-correctness",kept as canonical,duplicate review versions asking the same underlying question
ADQ-8cef76b68a6f,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
ADQ-8e3b1dcc4781,KEEP,-,-,"hallucination,out-of-context,factual-correctness",kept as canonical,"single, well-formed evidence-grounded item"
